file;class;type;cbo;cboModified;fanin;fanout;wmc;dit;noc;rfc;lcom;lcom*;tcc;lcc;totalMethodsQty;staticMethodsQty;publicMethodsQty;privateMethodsQty;protectedMethodsQty;defaultMethodsQty;visibleMethodsQty;abstractMethodsQty;finalMethodsQty;synchronizedMethodsQty;totalFieldsQty;staticFieldsQty;publicFieldsQty;privateFieldsQty;protectedFieldsQty;defaultFieldsQty;finalFieldsQty;synchronizedFieldsQty;nosi;loc;returnQty;loopQty;comparisonsQty;tryCatchQty;parenthesizedExpsQty;stringLiteralsQty;numbersQty;assignmentsQty;mathOperationsQty;variablesQty;maxNestedBlocksQty;anonymousClassesQty;innerClassesQty;lambdasQty;uniqueWordsQty;modifiers;logStatementsQty
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java;org.jfree.data.xy.XYSeriesTest;class;5;5;0;5;37;1;0;38;250;0.44444445;0.3015873;0.3015873;36;0;36;0;0;0;36;0;0;0;1;1;0;1;0;0;1;0;25;470;0;0;0;1;0;39;510;50;0;46;1;0;0;0;151;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\labels\StandardPieSectionLabelGenerator.java;org.jfree.chart.labels.StandardPieSectionLabelGenerator;class;5;9;4;5;15;2;0;15;34;0.77777773;0.24242425;0.24242425;12;0;12;0;0;0;12;0;0;0;3;2;1;2;0;0;2;0;7;57;9;0;1;0;1;1;2;8;2;6;1;0;0;0;151;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\renderer\xy\VectorRenderer.java;org.jfree.chart.renderer.xy.VectorRenderer;class;15;17;2;15;30;3;0;31;13;0.6666667;0.06666667;0.06666667;6;0;6;0;0;0;6;0;0;0;2;0;0;2;0;0;0;0;11;176;10;8;7;0;9;2;25;74;29;54;4;0;0;0;161;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\axis\CategoryTick.java;org.jfree.chart.axis.CategoryTick;class;5;7;2;5;12;2;0;4;0;0.33333334;0.8;1.0;6;0;6;0;0;0;6;0;0;0;3;0;0;3;0;0;0;0;3;46;10;0;1;0;0;1;4;8;6;5;2;0;0;0;39;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\labels\StandardXYSeriesLabelGeneratorTest.java;org.jfree.chart.labels.StandardXYSeriesLabelGeneratorTest;class;6;6;0;6;6;1;0;11;15;0.0;0.0;0.0;6;0;6;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;42;0;0;0;0;0;12;2;13;0;11;0;0;0;0;47;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\plot\flow\FlowPlotTest.java;org.jfree.chart.plot.flow.FlowPlotTest;class;8;9;1;8;15;1;0;23;0;0.26666668;0.6043956;0.6043956;15;0;14;1;0;0;14;0;0;0;1;0;0;1;0;0;0;0;3;153;0;0;0;0;0;6;21;30;0;19;0;0;0;0;71;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\renderer\xy\DeviationRenderer.java;org.jfree.chart.renderer.xy.DeviationRenderer$State;innerclass;2;2;0;2;1;4;0;0;0;0.0;NaN;NaN;1;0;1;0;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0;9;0;0;0;0;0;0;0;2;0;2;0;0;0;0;39;9;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\labels\BubbleXYItemLabelGenerator.java;org.jfree.chart.labels.BubbleXYItemLabelGenerator;class;8;10;2;8;19;2;0;20;7;0.70000005;0.42222223;0.46666667;10;0;9;0;1;0;10;0;0;0;4;2;1;2;0;1;2;0;10;93;12;0;4;0;1;3;9;24;0;14;1;0;0;0;116;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\resources\DataPackageResources.java;org.jfree.data.resources.DataPackageResources;class;0;0;0;0;1;3;0;0;0;0.0;NaN;NaN;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;6;1;0;0;0;0;4;0;1;0;1;0;0;0;0;34;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\swing\editor\DefaultLogAxisEditor.java;org.jfree.chart.swing.editor.DefaultLogAxisEditor;class;5;7;2;5;13;7;0;23;0;0.2857143;0.6666667;0.71428573;7;0;6;0;1;0;7;0;0;0;2;0;0;2;0;0;0;0;5;66;1;0;1;1;0;3;1;8;0;6;1;0;0;0;69;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\time\Minute.java;org.jfree.data.time.Minute;class;4;10;6;4;38;2;0;30;0;0.74431825;0.46753246;0.53246754;22;1;22;0;0;0;22;0;0;0;8;3;2;6;0;0;3;0;10;184;19;0;9;0;5;6;30;53;17;34;3;0;0;0;180;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\data\function\PolynomialFunction2DTest.java;org.jfree.data.function.PolynomialFunction2DTest;class;3;3;0;3;7;1;0;8;15;0.0;0.0;0.0;6;0;6;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;1;0;0;29;16;0;11;1;0;0;0;60;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\general\ValueDataset.java;org.jfree.data.general.ValueDataset;interface;2;3;1;2;0;1;0;0;0;0.0;-1.0;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\plot\compass\MeterNeedle.java;org.jfree.chart.plot.compass.MeterNeedle;class;4;15;11;4;41;1;8;27;157;0.8076923;0.21376811;0.6195652;26;0;22;2;2;0;24;1;0;0;9;2;0;8;1;0;1;0;20;154;19;0;10;0;1;0;7;34;4;14;1;0;0;0;110;1025;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\plot\dial\StandardDialRange.java;org.jfree.chart.plot.dial.StandardDialRange;class;11;12;1;11;34;2;0;17;67;0.73376614;0.3631579;0.7157895;22;0;20;2;0;0;20;0;0;0;7;1;0;6;0;1;1;0;12;149;18;0;7;0;9;6;17;34;17;17;1;0;0;0;161;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\renderer\xy\ClusteredXYBarRendererTest.java;org.jfree.chart.renderer.xy.ClusteredXYBarRendererTest;class;10;11;1;10;7;1;0;15;19;0.71428573;0.0;0.0;7;0;7;0;0;0;7;0;0;0;1;1;0;1;0;0;1;0;1;73;1;0;0;0;0;2;46;36;0;30;0;0;0;0;96;1;0
