cbo,dit,fanin,fanout,lcom,noc,loc,rfc,wmc,totalMethodsQty,protectedMethodsQty,publicMethodsQty,privateMethodsQty,finalFieldsQty,protectedFieldsQty,publicFieldsQty,privateFieldsQty,predicted_bug
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
7,2,0,7,10,0,20,8,6,5,0,5,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
3,2,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
15,1,4,15,97,0,194,23,55,18,5,13,0,12,13,0,0,0
13,1,17,13,55,18,36,0,11,11,0,11,0,1,0,0,1,0
6,2,4,6,0,2,15,2,5,4,0,4,0,0,0,1,0,0
7,2,0,7,3,0,16,5,4,3,0,3,0,0,0,0,0,1
10,7,0,10,1,0,78,15,2,2,0,2,0,0,0,0,0,0
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,5,0,1,1,0,1,0,0,0,0,0,0
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,5,0,1,1,0,1,0,0,0,0,0,0
1,1,0,1,0,0,14,0,5,4,2,2,0,0,0,1,0,1
2,2,0,2,1,0,8,0,2,2,0,2,0,0,0,0,0,0
5,1,0,5,3,0,34,0,7,7,0,7,0,0,0,0,3,0
25,6,0,25,0,0,425,32,12,12,0,12,0,1,0,0,1,0
5,2,0,5,3,0,12,1,3,3,1,2,0,0,0,0,0,1
37,2,10,37,1657,0,403,71,103,71,15,56,0,11,9,0,2,1
5,1,0,5,0,0,28,5,7,7,0,6,0,1,0,0,0,1
1,1,0,1,1,0,9,0,2,2,0,1,0,0,0,0,0,0
20,1,3,20,45,0,83,24,28,10,0,7,3,1,0,0,1,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,6,0,1,1,0,1,0,0,0,1,0,0
3,1,0,3,0,0,10,0,1,1,0,1,0,0,0,0,0,1
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,1,0,8,0,2,2,1,1,0,0,0,1,0,1
2,1,0,2,0,0,6,0,1,1,1,0,0,1,0,0,0,1
1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
3,1,0,3,0,0,6,0,1,1,0,1,0,1,1,0,0,1
2,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,3,0,6,1,0,43,4,4,2,1,1,0,0,0,0,0,1
2,1,0,2,3,0,14,0,3,3,0,3,0,0,1,2,0,1
4,1,0,4,0,0,17,0,4,4,0,3,0,0,0,0,2,1
1,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,6,2,2,2,0,1,1,0,0,0,0,1
11,2,11,11,125,5,154,27,47,19,6,13,0,6,3,0,3,0
9,3,4,9,4,0,92,22,28,17,1,16,0,3,1,0,1,0
5,1,0,5,0,0,3,0,0,0,0,0,0,0,0,1,0,1
1,2,0,1,1,0,8,0,2,2,0,2,0,0,0,1,0,0
1,1,0,1,1,0,8,0,2,2,0,2,0,0,0,1,0,0
3,1,0,3,0,0,4,0,0,0,0,0,0,0,0,2,0,1
1,2,0,1,1,0,7,1,2,2,0,1,0,0,0,0,0,1
4,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1
5,2,0,5,10,0,17,1,5,5,0,5,0,0,0,0,0,1
2,2,0,2,0,0,6,0,1,1,0,1,0,0,0,1,0,0
1,2,0,1,0,0,10,1,3,2,0,2,0,2,0,0,2,1
2,2,0,2,0,0,6,0,1,1,0,1,0,0,0,1,0,0
2,1,0,2,0,0,5,0,0,0,0,0,0,0,0,3,0,0
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
10,2,0,10,1,0,19,7,5,2,0,2,0,0,0,0,0,1
10,1,0,10,0,0,135,14,8,8,0,8,0,1,0,0,1,0
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
15,2,2,15,52,0,252,58,74,13,3,1,7,2,0,0,3,1
1,1,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
15,2,0,15,2,0,88,35,8,5,0,5,0,2,0,0,2,1
5,2,0,5,0,0,14,5,3,3,0,2,1,1,0,0,1,1
3,1,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,1,1,0
5,2,0,5,0,0,12,4,1,1,0,1,0,1,0,0,1,1
4,2,0,4,0,0,27,5,1,1,0,1,0,0,0,0,0,1
1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
10,1,0,10,3,0,12,0,3,3,0,3,0,1,0,0,0,1
5,2,0,5,6,0,23,7,6,4,0,3,1,0,0,0,0,1
0,1,0,0,3,0,11,0,3,3,1,1,1,0,0,0,0,1
2,1,0,2,0,0,9,0,2,2,0,2,0,1,0,0,0,1
4,2,0,4,1,0,8,2,2,2,0,2,0,0,0,0,0,1
1,1,0,1,0,0,6,0,1,1,0,1,0,0,0,0,0,0
0,1,0,0,0,0,13,0,1,1,0,0,1,0,0,0,0,1
9,1,0,9,0,0,13,1,4,1,0,1,0,0,0,0,0,1
8,4,0,8,0,0,61,13,3,1,0,1,0,0,0,0,0,1
2,2,0,2,0,0,5,0,1,1,0,1,0,0,0,0,0,1
1,1,0,1,0,0,5,0,1,1,0,1,0,0,0,0,0,0
1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,0,6,0,1,1,0,1,0,1,0,1,0,0
0,1,0,0,1,0,8,0,2,2,1,1,0,0,0,1,0,1
1,1,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,1
0,1,0,0,0,0,6,0,1,1,0,1,0,0,0,0,0,0
11,2,0,11,10,0,114,14,5,5,0,5,0,0,0,0,0,0
8,3,0,8,0,0,50,4,4,1,0,1,0,0,0,0,0,1
9,3,2,9,11,0,48,15,10,6,2,4,0,3,2,0,1,0
1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,1,0,8,0,2,2,0,1,1,0,0,0,0,1
69,3,7,69,2014,4,1029,251,288,77,33,42,2,13,21,0,1,1
1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0
3,2,0,3,0,0,5,1,1,1,0,1,0,0,0,0,0,1
4,1,0,4,1,0,10,0,2,2,0,2,0,0,0,0,2,1
3,1,0,3,0,0,47,5,1,1,0,1,0,0,0,0,0,0
0,1,0,0,1,0,8,0,2,2,0,2,0,0,0,1,0,0
2,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,2,0,2,1,0,11,0,3,3,1,2,0,0,0,0,0,0
7,2,1,7,91,0,119,19,14,14,0,12,2,0,0,0,0,0
4,1,0,4,0,0,13,2,3,2,0,2,0,0,0,0,1,1
0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,1,0,4,0,0,16,1,4,4,0,4,0,0,0,0,0,1
4,2,0,4,0,0,5,1,1,1,0,1,0,0,0,0,0,1
5,1,8,5,3,0,7,0,3,3,0,3,0,0,0,0,0,0
