index;cbo;dit;fanin;fanout;lcom;noc;loc;rfc;wmc;totalMethodsQty;protectedMethodsQty;publicMethodsQty;privateMethodsQty;finalFieldsQty;protectedFieldsQty;publicFieldsQty;privateFieldsQty;bugs
1;5;1;0;5;250;0;470;38;37;36;0;36;0;1;0;0;1;0
2;5;2;4;5;34;0;57;15;15;12;0;12;0;2;0;1;2;0
3;15;3;2;15;13;0;176;31;30;6;0;6;0;0;0;0;2;0
4;5;2;2;5;0;0;46;4;12;6;0;6;0;0;0;0;3;0
5;6;1;0;6;15;0;42;11;6;6;0;6;0;0;0;0;0;0
6;8;1;1;8;0;0;153;23;15;15;0;14;1;0;0;0;1;0
7;2;4;0;2;0;0;9;0;1;1;0;1;0;0;0;2;0;0
8;8;2;2;8;7;0;93;20;19;10;1;9;0;2;0;1;2;0
9;0;3;0;0;0;0;6;0;1;1;0;1;0;1;0;0;1;0
10;5;7;2;5;0;0;66;23;13;7;1;6;0;0;0;0;2;0
11;4;2;6;4;0;0;184;30;38;22;0;22;0;3;0;2;6;0
12;3;1;0;3;15;0;44;8;7;6;0;6;0;0;0;0;0;0
13;2;1;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
14;4;1;11;4;157;8;154;27;41;26;2;22;2;1;1;0;8;0
15;11;2;1;11;67;0;149;17;34;22;0;20;2;1;0;0;6;0
16;10;1;1;10;19;0;73;15;7;7;0;7;0;1;0;0;1;0
17;6;2;3;6;10;1;20;4;7;5;1;4;0;1;0;0;1;0
18;10;3;0;10;0;0;111;29;18;13;0;11;2;1;0;0;3;0
19;1;1;6;1;3;0;5;0;3;3;0;0;0;0;0;0;0;0
20;4;1;0;4;3;0;39;12;3;3;0;3;0;0;0;0;0;0
21;4;1;3;4;0;0;105;26;28;15;0;13;2;3;0;2;5;0
22;15;1;1;15;0;0;57;21;9;6;0;5;1;0;0;0;1;0
23;4;1;2;4;0;0;44;8;11;7;0;7;0;2;0;0;2;0
24;4;1;0;4;10;0;48;12;5;5;0;5;0;0;0;0;0;0
25;2;2;2;2;182;0;77;0;21;21;0;21;0;0;0;0;10;0
26;3;1;0;3;1;0;15;4;3;2;0;2;0;0;0;0;0;0
27;4;1;2;4;0;0;64;5;15;9;0;9;0;5;0;0;5;0
28;9;2;1;9;786;0;361;27;84;49;0;47;2;1;0;0;19;0
29;52;1;1;52;2980;0;855;134;200;93;21;70;2;1;0;0;32;0
30;3;1;0;3;6;0;32;5;4;4;0;4;0;0;0;0;0;0
31;3;2;2;3;30;0;96;18;26;9;4;4;1;0;0;0;1;0
32;0;1;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
33;2;1;0;2;10;0;45;10;9;5;0;5;0;0;0;0;0;0
34;22;2;1;22;413;0;386;60;93;35;1;32;2;4;2;3;15;0
