iter	Passed	Remaining
0	1173	1172191	1	1890	943122	2	1985	65973	13	1940	48304	24	2119	42185	25	2263	37506	26	2348	33327	27	2469	30618	28	2559	28179	29	2635	260910	10	2767	248846
11	2862	235698
12	2945	223633
13	3036	213889
14	3138	206122
15	3243	199467
16	3326	192356
17	3490	190430
18	3558	183708
19	3689	180807
20	3789	176644
21	3891	172979
22	3999	169870
23	4111	167202
24	4221	164639
25	4308	161386
26	4480	161454
27	4644	161234
28	4743	158811
29	4753	153711
30	4844	151435
31	4938	149395
32	5022	147164
33	5097	144817
34	5207	143587
35	5356	143431
36	5437	141528
37	5518	139712
38	5569	137235
39	5726	137436
40	5833	136454
41	5993	136702
42	6126	136348
43	6295	136782
44	6428	136434
45	6591	136708
46	6699	135844
47	6812	135105
48	6895	133833
49	7028	133535
50	7172	133465
51	7276	132658
52	7422	132619
53	7592	133015
54	7723	132712
55	7797	131448
56	7870	130202
57	7978	129583
58	8048	128365
59	8116	127164
60	8203	126282
61	8307	125679
62	8391	124809
63	8477	123990
64	8545	122930
65	8607	121813
66	8727	121535
67	8839	121154
68	8938	120601
69	9017	119801
70	9103	119109
71	9211	118723
72	9309	118224
73	9393	117540
74	9463	116719
75	9573	116398
76	9651	115694
77	10349	122337
78	11073	129096
79	11691	134452
80	12286	139401
81	12909	144518
82	13620	150485
83	14404	157079
84	14985	161314
85	15578	165565
86	16427	172396
87	17116	177386
88	17904	183272
89	18655	188631
90	19106	190859
91	19990	197297
92	20829	203143
93	21668	208848
94	22509	214432
95	23309	219493
96	24031	223716
97	24673	227099
98	25601	233002
99	26463	238172
100	27139	241568
101	27948	246059
102	28676	249735
103	28883	248845
104	28960	246853
105	29086	245315
106	29146	243249
107	29235	241463
108	29304	239544
109	29399	237865
110	29490	236192
111	29600	234689
112	29696	233101
113	29794	231563
114	29876	229921
115	29945	228202
116	30031	226649
117	30140	225289
118	30218	223720
119	30282	222073
120	30358	220539
121	30437	219051
122	30500	217471
123	30556	215864
124	30655	214586
125	30733	213184
126	30804	211752
127	30889	210437
128	30962	209059
129	30982	207341
130	31092	206254
131	31165	204934
132	31264	203807
133	31335	202511
134	31418	201312
135	31486	200033
136	31581	198938
137	31661	197767
138	31771	196802
139	31842	195605
140	31930	194524
141	31994	193318
142	32115	192471
143	32133	191015
144	32243	190125
145	32342	189180
146	32415	188098
147	32478	186969
148	32621	186313
149	32728	185459
150	32797	184401
151	32870	183383
152	32940	182359
153	33014	181367
154	33103	180466
155	33217	179713
156	33308	178849
157	33381	177894
158	33458	176972
159	33548	176127
160	33619	175196
161	33676	174204
162	33740	173257
163	33793	172264
164	33866	171386
165	33940	170518
166	34016	169675
167	34084	168801
168	34159	167966
169	34221	167082
170	34289	166232
171	34378	165498
172	34444	164656
173	34504	163795
174	34577	163009
175	34642	162191
176	34712	161402
177	34776	160595
178	34853	159858
179	34919	159079
180	34985	158303
181	35056	157561
182	35118	156787
183	35191	156067
184	35251	155298
185	35315	154552
186	35388	153856
187	35451	153118
188	35573	152645
189	35630	151898
190	35688	151163
191	35758	150484
192	35826	149801
193	35877	149058
194	35934	148345
195	36005	147694
196	36071	147031
197	36147	146416
198	36206	145735
199	36275	145103
200	36329	144414
201	36391	143764
202	36468	143180
203	36541	142583
204	36905	143120
205	37405	144175
206	37942	145355
207	38437	146357
208	38967	147478
209	39195	147450
210	39752	148648
211	40267	149672
212	40844	150914
213	41367	151938
214	41917	153048
215	42417	153959
216	43004	155171
217	43577	156321
218	44096	157258
219	44662	158349
220	45173	159230
221	46079	161485
222	46700	162717
223	47425	164295
224	48032	165445
225	48629	166544
226	49145	167353
227	49677	168205
228	50222	169090
229	50664	169614
230	51252	170619
231	51897	171798
232	51911	170885
233	52598	172180
234	53280	173446
235	53448	173029
236	53527	172326
237	53604	171625
238	53718	171045
239	53797	170358
240	53875	169675
241	53944	168965
242	54042	168355
243	54128	167710
244	54189	166992
245	54273	166349
246	54356	165711
247	54446	165094
248	54533	164476
249	54618	163856
250	54724	163301
251	54819	162719
252	54890	162068
253	55051	161686
254	55189	161239
255	55316	160764
256	55320	159933
257	55399	159328
258	55496	158774
259	55533	158055
260	55597	157420
261	55682	156845
262	55749	156226
263	55833	155657
264	55936	155144
265	56050	154665
266	56147	154143
267	56224	153568
268	56322	153055
269	56422	152549
270	56500	151987
271	56580	151436
272	56650	150861
273	56715	150274
274	56793	149727
275	56852	149135
276	56921	148570
277	57018	148084
278	57107	147578
279	57195	147074
280	57278	146559
